rct_number,antibody_name,antibody_category,trial_design,control_arm,phase,enrollment,dose_mg_m2,dose_frequency,duration_days,age_range,gender_distribution,ecog_performance,prior_treatments,comorbidities,baseline_organ_function,adverse_event,toxicity_type,organ_system,severity,ctcae_grade,fraction_affected_%,reversible,manageable,management_strategy,mitigation_strategy,time_to_onset_days,resolution_days,dose_modification_required,dose_modification_type,treatment_discontinuation,fatal_outcome,is_failed_candidate,failure_reason,contributed_to_failure,biomarker_correlation,predictive_factor,risk_stratification
RCT15618,Bevacizumab,Anti-VEGF,Single-arm,Placebo,Phase 1,170,15,Bi-weekly,137,18-65,40% M/60% F,0-1,1,2,Moderate impairment,Nausea,Dermatological,Blood,Severe,1,7.3,No,No,Dose reduction,Patient education,10,37,Yes,Reduction,Yes,Yes,No,,No,None,None,High
RCT64684,Cetuximab,Anti-EGFR,Crossover,Active comparator,Phase 3,72,14,Bi-weekly,66,18-75,40% M/60% F,0-2,1,3,Mild impairment,Nausea,Cardiac,Gastrointestinal,Mild,4,25.91,No,Yes,Discontinuation,Dose adjustment,1,1,Yes,None,Yes,Yes,Yes,Safety,Yes,None,Gender,Low
RCT15393,Rituximab,Anti-CD20,Randomized,Active comparator,Phase 3,268,6,Bi-weekly,45,18-65,50% M/50% F,0-1,5,2,Mild impairment,Rash,Hematological,Hepatic,Mild,4,7.01,Yes,Yes,Discontinuation,Monitoring,1,25,No,Discontinuation,Yes,No,Yes,Efficacy,Yes,None,Prior treatments,High
RCT88942,Trastuzumab,Anti-HER2,Crossover,None,Phase 3,168,15,Monthly,123,18-65,60% M/40% F,1-2,3,2,Moderate impairment,Nausea,Dermatological,Blood,Severe,4,29.34,Yes,Yes,Dose reduction,Patient education,7,48,Yes,None,No,Yes,No,Efficacy,,Positive,Age,Low
RCT76158,Pembrolizumab,Anti-PD-1,Randomized,None,Phase 3,181,10,Bi-weekly,81,≥18,50% M/50% F,1-2,3,1,Normal,Nausea,Gastrointestinal,Cardiac,Moderate,2,14.87,No,Yes,Dose reduction,Dose adjustment,24,53,Yes,Delay,No,No,No,Regulatory,Yes,None,None,High
RCT89706,Bevacizumab,Anti-VEGF,Single-arm,Standard of care,Phase 2,209,5,Every 3 weeks,108,18-65,60% M/40% F,0-2,3,0,Moderate impairment,Rash,Dermatological,Gastrointestinal,Severe,3,26.9,No,No,Supportive care,Patient education,28,39,Yes,Reduction,No,No,No,Efficacy,No,None,ECOG,Unknown
RCT11024,Cetuximab,Anti-EGFR,Randomized,Standard of care,Phase 2,122,10,Weekly,177,21-85,40% M/60% F,1-2,1,3,Normal,Fatigue,Dermatological,Skin,Mild,1,23.57,No,No,Discontinuation,Dose adjustment,27,45,Yes,Discontinuation,Yes,No,No,,,None,Prior treatments,High
RCT24097,Rituximab,Anti-CD20,Single-arm,Standard of care,Phase 1,117,1,Monthly,149,21-85,50% M/50% F,0-1,3,2,Normal,Neutropenia,Dermatological,Skin,Mild,2,12.9,Yes,Yes,Dose reduction,Dose adjustment,9,52,No,Reduction,No,No,No,,No,Positive,Gender,Low
RCT87373,Trastuzumab,Anti-HER2,Single-arm,Placebo,Phase 1,270,6,Bi-weekly,52,18-65,60% M/40% F,1-2,3,0,Mild impairment,Rash,Hematological,Gastrointestinal,Mild,2,17.09,No,No,Dose reduction,Patient education,4,33,Yes,None,No,No,No,,No,Unknown,Age,High
RCT48306,Pembrolizumab,Anti-PD-1,Crossover,None,Phase 1,87,10,Every 3 weeks,143,18-75,40% M/60% F,0-1,1,3,Normal,Rash,Hepatic,Skin,Mild,5,10.66,No,Yes,Treatment hold,Monitoring,18,15,No,None,Yes,No,Yes,Regulatory,,Negative,Gender,High
RCT68775,Bevacizumab,Anti-VEGF,Randomized,Placebo,Phase 3,63,1,Monthly,172,≥18,60% M/40% F,0-2,3,1,Normal,Infusion reaction,Hepatic,Blood,Moderate,2,28.98,No,No,Supportive care,Patient education,15,36,Yes,None,No,Yes,No,Regulatory,,Positive,None,Unknown
RCT62743,Cetuximab,Anti-EGFR,Randomized,Active comparator,Phase 3,225,12,Monthly,175,18-75,50% M/50% F,0-2,5,0,Moderate impairment,Neutropenia,Hematological,Cardiac,Mild,1,26.65,Yes,Yes,Discontinuation,Monitoring,17,2,Yes,Reduction,No,Yes,No,Regulatory,No,Unknown,ECOG,Medium
RCT75916,Rituximab,Anti-CD20,Randomized,None,Phase 1,267,7,Bi-weekly,170,18-65,60% M/40% F,0-2,5,3,Normal,Infusion reaction,Cardiac,Blood,Moderate,5,1.72,Yes,Yes,Dose reduction,Monitoring,13,45,No,Delay,No,Yes,No,Competition,,None,Gender,Medium
RCT95490,Trastuzumab,Anti-HER2,Crossover,Active comparator,Phase 2,86,10,Weekly,107,≥18,50% M/50% F,0-2,1,3,Moderate impairment,Fatigue,Hepatic,Gastrointestinal,Moderate,3,26.56,No,Yes,Discontinuation,Patient education,3,23,Yes,Delay,Yes,No,No,Competition,Yes,Negative,ECOG,Unknown
RCT23513,Pembrolizumab,Anti-PD-1,Randomized,Active comparator,Phase 3,252,15,Every 3 weeks,115,18-65,40% M/60% F,0-1,3,1,Moderate impairment,Neutropenia,Dermatological,Gastrointestinal,Mild,1,18.69,Yes,Yes,Treatment hold,Dose adjustment,7,27,Yes,Delay,No,No,Yes,Regulatory,,Negative,Prior treatments,High
RCT34455,Bevacizumab,Anti-VEGF,Randomized,None,Phase 3,282,7,Weekly,97,≥18,50% M/50% F,0-1,1,1,Mild impairment,Fatigue,Hepatic,Blood,Severe,3,6.48,Yes,Yes,Discontinuation,Dose adjustment,25,53,Yes,None,Yes,No,Yes,Efficacy,Yes,Positive,Gender,Unknown
RCT72895,Cetuximab,Anti-EGFR,Single-arm,Standard of care,Phase 1,110,1,Every 3 weeks,47,18-75,40% M/60% F,0-2,0,1,Mild impairment,Nausea,Hematological,Gastrointestinal,Moderate,4,12.97,Yes,Yes,Treatment hold,Dose adjustment,27,22,No,Delay,Yes,Yes,No,Safety,Yes,Positive,ECOG,High
RCT73624,Rituximab,Anti-CD20,Randomized,Active comparator,Phase 1,300,10,Every 3 weeks,44,18-75,50% M/50% F,0-1,1,3,Moderate impairment,Neutropenia,Hepatic,Skin,Severe,1,18.22,No,No,Dose reduction,Monitoring,22,23,No,Discontinuation,Yes,Yes,Yes,Safety,Yes,None,ECOG,Low
RCT72525,Trastuzumab,Anti-HER2,Single-arm,None,Phase 2,227,8,Bi-weekly,43,18-65,40% M/60% F,0-1,1,2,Normal,Neutropenia,Hepatic,Gastrointestinal,Moderate,4,25.85,Yes,Yes,Supportive care,Dose adjustment,21,41,No,Discontinuation,Yes,Yes,Yes,Regulatory,Yes,Positive,Age,Medium
RCT32482,Pembrolizumab,Anti-PD-1,Crossover,Placebo,Phase 2,50,3,Every 3 weeks,163,≥18,50% M/50% F,1-2,0,3,Moderate impairment,Nausea,Gastrointestinal,Gastrointestinal,Moderate,3,16.09,No,No,Treatment hold,Patient education,14,33,No,Delay,Yes,No,Yes,,No,Negative,Prior treatments,Medium
RCT24647,Bevacizumab,Anti-VEGF,Randomized,Active comparator,Phase 2,214,11,Every 3 weeks,101,18-75,50% M/50% F,0-2,0,0,Moderate impairment,Nausea,Hematological,Gastrointestinal,Mild,2,28.74,Yes,No,Discontinuation,Premedication,11,19,Yes,Delay,No,Yes,No,Competition,,Positive,Prior treatments,Low
RCT40609,Cetuximab,Anti-EGFR,Crossover,None,Phase 2,299,9,Every 3 weeks,32,21-85,50% M/50% F,0-1,2,0,Normal,Neutropenia,Gastrointestinal,Skin,Severe,3,16.45,No,Yes,Treatment hold,Dose adjustment,24,26,No,None,Yes,No,No,Competition,No,Negative,Age,High
RCT13631,Rituximab,Anti-CD20,Randomized,Active comparator,Phase 3,285,2,Bi-weekly,131,≥18,50% M/50% F,0-1,2,0,Normal,Nausea,Gastrointestinal,Hepatic,Severe,4,14.16,No,Yes,Dose reduction,Premedication,21,47,Yes,None,No,Yes,Yes,,Yes,Unknown,Gender,Medium
RCT58258,Trastuzumab,Anti-HER2,Single-arm,None,Phase 2,292,14,Every 3 weeks,151,18-65,50% M/50% F,0-1,3,0,Mild impairment,Fatigue,Hepatic,Gastrointestinal,Severe,2,26.48,No,Yes,Treatment hold,Dose adjustment,14,47,No,None,Yes,No,No,Safety,,Negative,Gender,Unknown
RCT26081,Pembrolizumab,Anti-PD-1,Crossover,Active comparator,Phase 3,233,11,Bi-weekly,115,18-65,50% M/50% F,0-2,0,0,Mild impairment,Infusion reaction,Cardiac,Cardiac,Severe,3,17.86,Yes,No,Supportive care,Premedication,16,8,No,Reduction,Yes,Yes,No,Competition,Yes,Positive,None,Low
RCT49057,Bevacizumab,Anti-VEGF,Single-arm,None,Phase 2,143,10,Monthly,162,21-85,40% M/60% F,1-2,2,2,Normal,Nausea,Cardiac,Blood,Severe,1,19.9,No,No,Supportive care,Patient education,28,31,No,Discontinuation,No,No,No,,,None,Prior treatments,Low
RCT37791,Cetuximab,Anti-EGFR,Randomized,Standard of care,Phase 2,262,11,Monthly,95,21-85,40% M/60% F,1-2,1,1,Mild impairment,Fatigue,Gastrointestinal,Cardiac,Mild,4,24.53,Yes,Yes,Supportive care,Patient education,24,20,Yes,None,Yes,No,No,Efficacy,Yes,Positive,None,Medium
RCT47501,Rituximab,Anti-CD20,Crossover,None,Phase 2,187,12,Monthly,86,18-75,60% M/40% F,1-2,0,1,Mild impairment,Rash,Hematological,Hepatic,Severe,3,8.46,No,Yes,Discontinuation,Patient education,21,8,Yes,Discontinuation,No,Yes,No,Regulatory,Yes,Positive,None,Unknown
RCT64779,Trastuzumab,Anti-HER2,Crossover,Placebo,Phase 1,72,6,Every 3 weeks,51,18-65,50% M/50% F,0-1,3,2,Normal,Neutropenia,Hematological,Gastrointestinal,Severe,3,22.6,No,Yes,Supportive care,Monitoring,27,8,Yes,None,Yes,Yes,No,Safety,No,Negative,Prior treatments,Low
RCT31541,Pembrolizumab,Anti-PD-1,Crossover,Active comparator,Phase 2,296,9,Weekly,153,≥18,40% M/60% F,0-2,0,2,Mild impairment,Rash,Hepatic,Blood,Mild,2,8.88,Yes,Yes,Treatment hold,Premedication,5,33,Yes,Discontinuation,No,Yes,No,Efficacy,,Negative,Prior treatments,High
RCT53646,Bevacizumab,Anti-VEGF,Randomized,None,Phase 1,192,15,Bi-weekly,79,18-65,50% M/50% F,0-1,4,1,Moderate impairment,Infusion reaction,Hematological,Cardiac,Severe,4,10.75,Yes,Yes,Discontinuation,Dose adjustment,10,6,No,Delay,Yes,No,No,Safety,Yes,None,Gender,Medium
RCT86375,Cetuximab,Anti-EGFR,Single-arm,Active comparator,Phase 2,240,5,Monthly,71,21-85,60% M/40% F,1-2,0,0,Normal,Rash,Gastrointestinal,Hepatic,Mild,5,16.38,Yes,Yes,Supportive care,Monitoring,17,42,No,Delay,Yes,Yes,No,,No,Positive,ECOG,Low
RCT65143,Rituximab,Anti-CD20,Single-arm,None,Phase 1,293,6,Monthly,122,18-75,40% M/60% F,0-1,2,3,Mild impairment,Nausea,Dermatological,Skin,Mild,4,9.33,No,Yes,Supportive care,Dose adjustment,8,10,No,Reduction,No,No,Yes,,Yes,Positive,Gender,Medium
RCT76067,Trastuzumab,Anti-HER2,Randomized,Placebo,Phase 2,210,15,Monthly,118,≥18,40% M/60% F,0-1,5,3,Moderate impairment,Fatigue,Cardiac,Skin,Severe,4,8.56,Yes,No,Discontinuation,Dose adjustment,17,17,No,Reduction,Yes,No,No,Regulatory,No,None,ECOG,Medium
RCT76045,Pembrolizumab,Anti-PD-1,Randomized,None,Phase 1,184,4,Bi-weekly,72,≥18,40% M/60% F,1-2,3,0,Mild impairment,Neutropenia,Cardiac,Hepatic,Moderate,1,25.66,No,Yes,Discontinuation,Monitoring,11,13,Yes,Discontinuation,Yes,No,No,Competition,Yes,Unknown,ECOG,High
RCT51610,Bevacizumab,Anti-VEGF,Randomized,Placebo,Phase 3,237,11,Weekly,85,≥18,40% M/60% F,0-1,0,3,Mild impairment,Infusion reaction,Hematological,Skin,Mild,1,19.2,Yes,No,Discontinuation,Dose adjustment,23,21,No,Reduction,Yes,No,Yes,,Yes,Positive,ECOG,High
RCT18801,Cetuximab,Anti-EGFR,Single-arm,Placebo,Phase 3,109,3,Monthly,93,18-75,40% M/60% F,0-1,5,0,Moderate impairment,Fatigue,Cardiac,Gastrointestinal,Mild,1,5.87,No,No,Dose reduction,Patient education,27,7,Yes,Delay,No,No,No,Efficacy,No,Positive,Prior treatments,Low
RCT64149,Rituximab,Anti-CD20,Single-arm,Standard of care,Phase 1,177,3,Every 3 weeks,120,18-65,40% M/60% F,1-2,0,0,Normal,Neutropenia,Dermatological,Gastrointestinal,Mild,1,25.47,No,Yes,Supportive care,Patient education,13,60,Yes,Reduction,Yes,Yes,No,Safety,,Positive,Gender,Medium
RCT72829,Trastuzumab,Anti-HER2,Randomized,None,Phase 3,125,14,Bi-weekly,126,18-65,60% M/40% F,0-2,2,1,Mild impairment,Rash,Hepatic,Skin,Severe,2,7.9,Yes,No,Dose reduction,Patient education,2,59,Yes,None,Yes,No,No,Regulatory,No,Unknown,None,Medium
RCT21106,Pembrolizumab,Anti-PD-1,Randomized,Active comparator,Phase 2,61,6,Monthly,62,18-75,60% M/40% F,1-2,3,0,Moderate impairment,Infusion reaction,Hematological,Gastrointestinal,Mild,5,1.79,No,Yes,Dose reduction,Patient education,16,20,No,None,No,No,Yes,Safety,Yes,Negative,ECOG,High
RCT56914,Bevacizumab,Anti-VEGF,Randomized,Standard of care,Phase 2,138,12,Monthly,63,≥18,60% M/40% F,0-1,5,2,Moderate impairment,Nausea,Hematological,Gastrointestinal,Moderate,4,26.11,No,No,Dose reduction,Dose adjustment,27,36,No,Reduction,No,Yes,Yes,Competition,,Unknown,Gender,High
RCT72359,Cetuximab,Anti-EGFR,Single-arm,None,Phase 3,251,13,Bi-weekly,88,21-85,50% M/50% F,0-2,2,3,Mild impairment,Rash,Gastrointestinal,Gastrointestinal,Moderate,3,14.17,No,No,Supportive care,Monitoring,19,47,Yes,None,Yes,No,Yes,Safety,No,Negative,Age,Low
RCT55972,Rituximab,Anti-CD20,Crossover,Active comparator,Phase 1,238,11,Bi-weekly,139,18-65,60% M/40% F,0-2,0,0,Moderate impairment,Neutropenia,Hepatic,Blood,Moderate,5,2.54,Yes,No,Supportive care,Premedication,17,2,Yes,Reduction,No,Yes,Yes,Safety,Yes,None,Gender,Unknown
RCT25798,Trastuzumab,Anti-HER2,Single-arm,Placebo,Phase 1,118,2,Weekly,31,18-65,50% M/50% F,0-1,3,1,Mild impairment,Fatigue,Hematological,Blood,Moderate,3,29.95,No,Yes,Dose reduction,Monitoring,11,34,Yes,Discontinuation,Yes,No,Yes,,,Negative,Gender,Medium
RCT62136,Pembrolizumab,Anti-PD-1,Randomized,Standard of care,Phase 1,255,15,Weekly,40,≥18,50% M/50% F,0-2,3,1,Normal,Nausea,Cardiac,Blood,Mild,3,2.33,No,Yes,Supportive care,Patient education,13,55,Yes,Reduction,Yes,No,Yes,Regulatory,No,Positive,Gender,Low
RCT38483,Bevacizumab,Anti-VEGF,Single-arm,Active comparator,Phase 3,291,5,Monthly,119,≥18,60% M/40% F,1-2,0,2,Moderate impairment,Infusion reaction,Dermatological,Gastrointestinal,Mild,5,2.51,No,No,Discontinuation,Premedication,12,40,No,Discontinuation,No,Yes,No,,No,None,Gender,Medium
RCT39473,Cetuximab,Anti-EGFR,Single-arm,Placebo,Phase 1,255,8,Monthly,170,≥18,40% M/60% F,1-2,2,0,Moderate impairment,Nausea,Cardiac,Blood,Mild,4,24.25,Yes,Yes,Supportive care,Patient education,23,58,Yes,Delay,No,Yes,No,Regulatory,Yes,Unknown,Gender,Unknown
RCT95619,Rituximab,Anti-CD20,Crossover,Active comparator,Phase 1,300,9,Weekly,53,18-75,50% M/50% F,0-2,2,0,Normal,Neutropenia,Cardiac,Gastrointestinal,Moderate,2,20.89,No,Yes,Treatment hold,Premedication,3,37,Yes,Discontinuation,No,Yes,Yes,Competition,,Negative,None,Low
RCT32756,Trastuzumab,Anti-HER2,Single-arm,Placebo,Phase 2,178,13,Monthly,176,21-85,40% M/60% F,0-1,0,1,Normal,Fatigue,Cardiac,Cardiac,Severe,4,1.74,No,Yes,Dose reduction,Dose adjustment,25,11,Yes,Discontinuation,No,No,No,Efficacy,No,Positive,Prior treatments,High
RCT13504,Pembrolizumab,Anti-PD-1,Single-arm,Standard of care,Phase 2,234,10,Weekly,74,18-65,60% M/40% F,1-2,5,2,Normal,Fatigue,Hematological,Blood,Moderate,1,28.08,Yes,Yes,Dose reduction,Monitoring,28,42,Yes,Delay,Yes,No,No,Competition,No,None,Gender,High
RCT45347,Bevacizumab,Anti-VEGF,Randomized,Placebo,Phase 3,119,6,Monthly,62,≥18,60% M/40% F,0-1,3,2,Normal,Neutropenia,Hepatic,Skin,Moderate,2,22.62,No,No,Treatment hold,Patient education,24,28,No,None,No,Yes,No,,No,Negative,None,Medium
RCT67955,Cetuximab,Anti-EGFR,Single-arm,None,Phase 1,225,13,Monthly,84,21-85,40% M/60% F,0-2,3,2,Moderate impairment,Fatigue,Dermatological,Skin,Severe,4,18.77,No,No,Treatment hold,Monitoring,11,24,Yes,Reduction,No,Yes,Yes,Safety,No,Unknown,Prior treatments,Medium
RCT61258,Rituximab,Anti-CD20,Randomized,None,Phase 2,196,5,Bi-weekly,105,18-75,60% M/40% F,1-2,2,1,Normal,Infusion reaction,Hepatic,Blood,Severe,2,20.19,No,No,Dose reduction,Monitoring,22,26,No,Discontinuation,Yes,Yes,Yes,Efficacy,Yes,None,None,Medium
RCT36966,Trastuzumab,Anti-HER2,Single-arm,Placebo,Phase 2,214,12,Bi-weekly,93,21-85,60% M/40% F,0-2,1,2,Moderate impairment,Infusion reaction,Dermatological,Gastrointestinal,Moderate,5,13.26,No,Yes,Supportive care,Patient education,16,5,No,None,No,No,Yes,Regulatory,No,Positive,None,Unknown
RCT29062,Pembrolizumab,Anti-PD-1,Crossover,Standard of care,Phase 1,221,8,Every 3 weeks,147,≥18,50% M/50% F,0-2,5,1,Moderate impairment,Fatigue,Gastrointestinal,Skin,Moderate,5,14.23,Yes,No,Discontinuation,Premedication,13,40,Yes,Delay,Yes,Yes,No,Competition,,Unknown,ECOG,Medium
RCT27133,Bevacizumab,Anti-VEGF,Crossover,None,Phase 3,249,14,Monthly,169,18-65,50% M/50% F,0-1,2,0,Mild impairment,Neutropenia,Gastrointestinal,Gastrointestinal,Severe,1,29.92,No,No,Supportive care,Patient education,19,25,Yes,None,Yes,Yes,No,Competition,Yes,Negative,Age,Low
RCT27147,Cetuximab,Anti-EGFR,Randomized,Standard of care,Phase 3,286,6,Weekly,95,21-85,60% M/40% F,0-1,2,0,Mild impairment,Infusion reaction,Dermatological,Blood,Severe,1,16.12,No,No,Discontinuation,Patient education,25,32,Yes,Reduction,No,Yes,Yes,Safety,No,Negative,None,High
RCT19032,Rituximab,Anti-CD20,Crossover,Standard of care,Phase 3,113,9,Bi-weekly,176,21-85,50% M/50% F,0-1,2,3,Mild impairment,Nausea,Dermatological,Gastrointestinal,Mild,4,21.88,No,Yes,Dose reduction,Premedication,2,56,No,None,Yes,Yes,No,Regulatory,Yes,Positive,Prior treatments,Unknown
RCT31009,Trastuzumab,Anti-HER2,Crossover,None,Phase 3,238,10,Every 3 weeks,159,18-65,50% M/50% F,1-2,3,0,Mild impairment,Nausea,Hematological,Gastrointestinal,Moderate,3,21.43,Yes,Yes,Dose reduction,Dose adjustment,14,49,Yes,None,Yes,Yes,No,Efficacy,,Unknown,Gender,High
RCT65788,Pembrolizumab,Anti-PD-1,Crossover,Standard of care,Phase 2,97,2,Bi-weekly,37,18-75,50% M/50% F,0-1,2,2,Moderate impairment,Neutropenia,Hepatic,Skin,Mild,2,25.68,No,Yes,Treatment hold,Patient education,7,42,No,Reduction,Yes,Yes,Yes,Competition,Yes,Unknown,None,Low
RCT82093,Bevacizumab,Anti-VEGF,Single-arm,Placebo,Phase 1,110,2,Bi-weekly,128,21-85,60% M/40% F,0-1,0,0,Moderate impairment,Nausea,Cardiac,Gastrointestinal,Moderate,4,20.88,Yes,No,Dose reduction,Patient education,2,43,No,Delay,Yes,No,Yes,Safety,No,Unknown,Age,High
RCT34689,Cetuximab,Anti-EGFR,Single-arm,Placebo,Phase 3,123,2,Bi-weekly,152,21-85,50% M/50% F,1-2,2,0,Mild impairment,Rash,Cardiac,Cardiac,Severe,5,3.53,No,No,Discontinuation,Premedication,9,52,No,Reduction,No,No,Yes,Safety,Yes,Positive,Age,Unknown
RCT32428,Rituximab,Anti-CD20,Crossover,Active comparator,Phase 1,120,13,Monthly,41,18-75,40% M/60% F,1-2,1,3,Moderate impairment,Neutropenia,Hematological,Gastrointestinal,Mild,5,17.83,Yes,Yes,Treatment hold,Patient education,11,30,Yes,Delay,Yes,Yes,Yes,Regulatory,Yes,None,Gender,Medium
RCT25987,Trastuzumab,Anti-HER2,Single-arm,None,Phase 2,24,3,Weekly,82,18-75,40% M/60% F,0-2,1,0,Moderate impairment,Nausea,Hepatic,Gastrointestinal,Severe,5,5.91,Yes,No,Dose reduction,Dose adjustment,2,6,No,Discontinuation,No,No,Yes,Efficacy,,None,ECOG,Medium
RCT17628,Pembrolizumab,Anti-PD-1,Randomized,Active comparator,Phase 2,46,11,Every 3 weeks,180,18-75,40% M/60% F,1-2,4,3,Normal,Fatigue,Gastrointestinal,Cardiac,Moderate,3,6.17,Yes,No,Supportive care,Premedication,12,55,Yes,Discontinuation,Yes,No,Yes,Regulatory,Yes,Unknown,None,High
RCT24070,Bevacizumab,Anti-VEGF,Crossover,Standard of care,Phase 2,103,3,Weekly,68,≥18,50% M/50% F,0-2,1,0,Moderate impairment,Infusion reaction,Cardiac,Cardiac,Severe,2,29.55,No,No,Dose reduction,Monitoring,1,18,Yes,Delay,Yes,No,No,Efficacy,No,Unknown,Prior treatments,Low
RCT14402,Cetuximab,Anti-EGFR,Crossover,Standard of care,Phase 2,96,8,Bi-weekly,36,21-85,50% M/50% F,1-2,0,3,Mild impairment,Infusion reaction,Hematological,Hepatic,Mild,4,9.23,Yes,Yes,Supportive care,Monitoring,1,6,No,Discontinuation,Yes,Yes,No,Efficacy,Yes,Negative,Prior treatments,High
RCT43192,Rituximab,Anti-CD20,Randomized,None,Phase 2,161,10,Monthly,120,18-75,50% M/50% F,0-2,5,1,Normal,Neutropenia,Dermatological,Gastrointestinal,Moderate,2,1.62,Yes,Yes,Discontinuation,Dose adjustment,27,6,Yes,None,No,No,No,,Yes,Positive,None,High
RCT21427,Trastuzumab,Anti-HER2,Crossover,Active comparator,Phase 1,22,4,Every 3 weeks,123,21-85,60% M/40% F,1-2,5,0,Moderate impairment,Neutropenia,Hematological,Skin,Severe,2,14.38,Yes,Yes,Discontinuation,Monitoring,4,53,Yes,Reduction,Yes,No,No,,,Positive,None,Medium
RCT64730,Pembrolizumab,Anti-PD-1,Crossover,None,Phase 3,299,14,Every 3 weeks,162,≥18,40% M/60% F,0-1,4,0,Moderate impairment,Neutropenia,Dermatological,Cardiac,Severe,4,23.59,Yes,Yes,Treatment hold,Monitoring,9,33,Yes,Delay,No,Yes,No,,No,Unknown,Gender,High
RCT43779,Bevacizumab,Anti-VEGF,Randomized,None,Phase 3,34,7,Every 3 weeks,33,≥18,50% M/50% F,0-1,4,1,Mild impairment,Fatigue,Hematological,Gastrointestinal,Severe,1,10.49,Yes,No,Treatment hold,Premedication,10,3,Yes,Delay,Yes,Yes,No,,,Unknown,ECOG,Medium
RCT37155,Cetuximab,Anti-EGFR,Randomized,Placebo,Phase 2,147,6,Weekly,142,21-85,50% M/50% F,0-2,1,0,Mild impairment,Infusion reaction,Cardiac,Gastrointestinal,Mild,4,19.5,Yes,No,Treatment hold,Dose adjustment,9,43,No,Discontinuation,No,No,Yes,Competition,No,Negative,None,Medium
RCT79871,Rituximab,Anti-CD20,Single-arm,Active comparator,Phase 2,282,9,Monthly,151,≥18,60% M/40% F,0-1,0,0,Mild impairment,Infusion reaction,Hepatic,Gastrointestinal,Mild,2,12.11,Yes,Yes,Supportive care,Premedication,21,47,Yes,None,No,Yes,Yes,,Yes,Unknown,Prior treatments,High
RCT20845,Trastuzumab,Anti-HER2,Randomized,Active comparator,Phase 3,289,14,Every 3 weeks,130,18-75,50% M/50% F,0-1,1,3,Moderate impairment,Neutropenia,Hepatic,Blood,Moderate,3,29.83,No,Yes,Discontinuation,Premedication,25,25,Yes,Reduction,No,Yes,No,Regulatory,No,Negative,ECOG,Medium
RCT67719,Pembrolizumab,Anti-PD-1,Single-arm,Active comparator,Phase 3,237,10,Monthly,157,18-75,60% M/40% F,1-2,2,1,Moderate impairment,Rash,Cardiac,Cardiac,Severe,3,25.56,Yes,No,Discontinuation,Monitoring,3,43,No,Discontinuation,No,No,Yes,Competition,Yes,Positive,ECOG,Unknown
RCT22354,Bevacizumab,Anti-VEGF,Crossover,None,Phase 3,205,2,Weekly,49,18-75,60% M/40% F,0-1,1,2,Moderate impairment,Nausea,Cardiac,Blood,Moderate,3,16.62,No,No,Supportive care,Patient education,25,38,No,Delay,No,No,No,Safety,No,Negative,Prior treatments,Unknown
RCT63128,Cetuximab,Anti-EGFR,Randomized,Placebo,Phase 2,87,15,Bi-weekly,66,18-65,50% M/50% F,0-2,2,3,Mild impairment,Infusion reaction,Dermatological,Cardiac,Mild,3,27.1,Yes,No,Treatment hold,Monitoring,20,53,No,Delay,Yes,Yes,No,Regulatory,Yes,Unknown,Gender,Medium
RCT88523,Rituximab,Anti-CD20,Single-arm,None,Phase 2,297,5,Monthly,162,21-85,50% M/50% F,0-2,3,1,Normal,Nausea,Cardiac,Skin,Mild,4,13.65,No,Yes,Supportive care,Dose adjustment,22,29,Yes,Discontinuation,Yes,No,Yes,Safety,No,None,None,Unknown
RCT13410,Trastuzumab,Anti-HER2,Crossover,None,Phase 3,131,15,Every 3 weeks,127,≥18,50% M/50% F,0-2,0,0,Mild impairment,Nausea,Dermatological,Gastrointestinal,Mild,4,17.87,No,No,Discontinuation,Premedication,22,1,No,None,No,Yes,No,,,None,Prior treatments,High
RCT77033,Pembrolizumab,Anti-PD-1,Single-arm,Standard of care,Phase 1,173,9,Monthly,85,18-65,50% M/50% F,0-2,4,1,Normal,Nausea,Cardiac,Hepatic,Moderate,5,1.56,Yes,No,Treatment hold,Patient education,5,12,Yes,Delay,Yes,No,Yes,Competition,Yes,Unknown,ECOG,Medium
RCT28591,Bevacizumab,Anti-VEGF,Crossover,Standard of care,Phase 2,262,1,Bi-weekly,93,18-65,50% M/50% F,1-2,0,0,Normal,Nausea,Cardiac,Gastrointestinal,Moderate,4,17.31,Yes,No,Treatment hold,Patient education,13,38,Yes,Reduction,Yes,Yes,Yes,Competition,,Negative,Gender,Low
RCT89102,Cetuximab,Anti-EGFR,Single-arm,Standard of care,Phase 2,211,1,Every 3 weeks,147,≥18,50% M/50% F,1-2,4,0,Moderate impairment,Rash,Dermatological,Cardiac,Mild,5,9.87,Yes,Yes,Treatment hold,Premedication,19,56,Yes,Discontinuation,No,Yes,No,Competition,,None,Gender,Medium
RCT24259,Rituximab,Anti-CD20,Crossover,None,Phase 2,293,10,Every 3 weeks,57,21-85,60% M/40% F,0-2,2,3,Normal,Rash,Gastrointestinal,Hepatic,Moderate,5,25.39,Yes,No,Supportive care,Dose adjustment,23,25,Yes,Reduction,No,Yes,Yes,Regulatory,No,None,Gender,High
RCT96706,Trastuzumab,Anti-HER2,Randomized,Placebo,Phase 1,164,5,Weekly,77,18-75,60% M/40% F,1-2,5,1,Mild impairment,Rash,Gastrointestinal,Cardiac,Moderate,1,13.55,Yes,No,Dose reduction,Premedication,12,22,Yes,Discontinuation,Yes,Yes,No,Safety,No,Unknown,Age,Low
